Symbol,Company_Name,Sector,Industry,Market_Cap,Exchange
EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,64615723008,NYQ
EPAM,"EPAM Systems, Inc.",Technology,Information Technology Services,9672882176,NYQ
EQT,EQT Corporation,Energy,Oil & Gas E&P,32569534464,NYQ
EFX,Equifax Inc.,Industrials,Consulting Services,30338492416,NYQ
EQIX,"Equinix, Inc.",Real Estate,REIT - Specialty,78395080704,NMS
EQR,Equity Residential,Real Estate,REIT - Residential,26382632960,NYQ
ERIE,Erie Indemnity Company,Financial Services,Insurance Brokers,18599518208,NMS
ESS,"Essex Property Trust, Inc.",Real Estate,REIT - Residential,19821377536,NYQ
EL,The Estée Lauder Companies Inc.,Consumer Defensive,Household & Personal Products,32521580544,NYQ
EG,"Everest Group, Ltd.",Financial Services,Insurance - Reinsurance,14328238080,NYQ
EVRG,"Evergy, Inc.",Utilities,Utilities - Regulated Electric,16060353536,NMS
ES,Eversource Energy,Utilities,Utilities - Regulated Electric,24475189248,NYQ
EXC,Exelon Corporation,Utilities,Utilities - Regulated Electric,44409663488,NMS
EXE,Expand Energy Corporation,Energy,Oil & Gas E&P,23362398208,NMS
EXPE,"Expedia Group, Inc.",Consumer Cyclical,Travel Services,23814848512,NMS
EXPD,"Expeditors International of Washington, Inc.",Industrials,Integrated Freight & Logistics,15981831168,NYQ
EXR,Extra Space Storage Inc.,Real Estate,REIT - Industrial,33425295360,NYQ
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,475784282112,NYQ
FFIV,"F5, Inc.",Technology,Software - Infrastructure,17193297920,NMS
FDS,FactSet Research Systems Inc.,Financial Services,Financial Data & Stock Exchanges,15861465088,NYQ
FICO,Fair Isaac Corporation,Technology,Software - Application,37304143872,NYQ
FAST,Fastenal Company,Industrials,Industrial Distribution,54799814656,NMS
FRT,Federal Realty Investment Trust,Real Estate,REIT - Retail,8186430976,NYQ
FDX,FedEx Corporation,Industrials,Integrated Freight & Logistics,57370636288,NYQ
FIS,"Fidelity National Information Services, Inc.",Technology,Information Technology Services,43050868736,NYQ
FITB,Fifth Third Bancorp,Financial Services,Banks - Regional,28604696576,NMS
FSLR,"First Solar, Inc.",Technology,Solar,19874459648,NMS
FE,FirstEnergy Corp.,Utilities,Utilities - Regulated Electric,24205920256,NYQ
FI,"Fiserv, Inc.",Technology,Information Technology Services,77206519808,NYQ
F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,45611028480,NYQ
FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,80230907904,NMS
FTV,Fortive Corporation,Technology,Scientific & Technical Instruments,17510719488,NYQ
FOXA,Fox Corporation,Communication Services,Entertainment,24407994368,NMS
FOX,Fox Corporation,Communication Services,Entertainment,24407951360,NMS
